id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
PSPMA,BYF9,Living room,7,7,Yes,"A person is seen watching television as they put on their shoes. They start laughing, then take a bit out of their food.",chair;dish;food;shoe;television,A person sitting in a chair watching television puts on shoes and then eats food.,c055 2.50 30.30;c061 23.40 32.00;c063 20.40 28.80;c156 24.90 32.00;c132 0.00 32.00;c059 0.00 32.00;c119 0.00 6.50;c120 21.30 27.40;c062 25.20 32.00;c118 21.90 32.00,31.25
MD41D,4I61,Living room,7,7,Yes,A person is standing at the window and watching outside. They take a photograph through the window using a camera.,camera;doorway;phone;window,"A person walks into a room and begins looking out a window, they then snap a picture with a camera and leave.",c015 6.70 39.50;c092 11.00 37.70;c087 38.50 42.00;c097 38.50 42.00,40.50
SDXZ8,HR43,Kitchen,5,7,Yes,A person walks into their kitchen and starts tidying up. The person washes the dishes and then vacuums the floor.,dish;floor;plate;sink;vacuum,"The person walks into the kitchen and starts to wash a plate. The person puts the plate on a drying rack. The person then walks over to grab a vacuum, unwraps the chord, and places the vacuum on the ground.;A person washes some dishes in a sink, They put the dish away. They take a vacuum and put it on the floor.",c137 35.60 52.00;c138 33.50 38.80;c118 11.60 27.80;c121 8.30 24.70;c119 20.40 27.20;c127 40.00 52.00;c120 1.10 28.00,51.42
S673O,SS3R,Living room,6,6,Yes,"A person lies on a sofa in the living room, laughing as they watch television. The person pours a drink into their glass, and takes a bite of their sandwich.",cup;food;glass;plate;sandwich;sofa,"Person is lying on couch when she grabs a glass of water and takes a drink followed by eating food off a plate.;Person lying on the couch sits up, picks up a plate off the table and eats a bite",c122 0.00 3.20;c065 24.40 31.40;c107 9.70 24.80;c123 0.90 35.00;c106 24.40 35.00;c122 0.00 18.80;c156 24.90 35.00;c067 32.00 35.00;c069 32.00 35.00;c063 32.00 35.00;c061 32.00 35.00,33.92
U79C9,9PLL,Stairs,5,7,Yes,"A person sits on stairs and takes off their shoes, then grabs a blanket and snuggles it.",blanket;shoe;stairs,"A person is sitting on some stairs taking off their shoes, they then begin to snuggle with a blanket.",c072 20.00 36.00;c073 15.30 27.00;c057 3.20 17.50,34.88
N915C,6RE8,Bedroom,6,7,Yes,"A person is undressing as the person stands in front of the wardrobe. Then, wrapped in a blanket, the person picks up a broom and begins tidying the room.",blanket;broom;clothes;doorway;floor,"A person walks into a room and gets undressed.;A person walks into the room and undresses. They snuggle with a blanket, pick up a broom, and sweep the floor.",c100 21.70 35.00;c102 20.90 35.00;c072 14.40 35.00;c155 0.00 16.60;c097 0.00 4.50;c127 23.60 35.00;c001 6.10 18.10;c073 15.40 28.60,33.83
FXRMG,XXN8,Bedroom,7,7,Yes,"A person takes a book from their desk. Holding the book, the person looks around and leaves the room.",book;desk;door;table,"A person picks up a book off of a table, looks around, and then opens a door, exits, and closes a door.;A person grabs a book from a desk and holds it as they look around. They set it on the desk before walking out the door.",c009 18.50 23.60;c026 1.50 22.80;c006 23.60 29.30;c008 22.90 28.10;c097 23.40 31.10;c028 18.80 25.00;c030 0.00 5.80;c154 20.60 25.50;c032 1.30 7.30;c141 22.60 27.90,33.00
P68QV,ZAWX,Dining room,5,7,Yes,A person is seen smiling and looking at their camera. They begin eating and then pick up a bag of groceries to put away.,animal cracker;bag;camera;doorway;food;phone;plate,"A person is holding a camera and smiling at it. The person grabs some food off a plate and eats. The person grabs a bag from the table and carries it out the room.;The person looked at a phone, ate two animal crackers, too the bag from the counter then left the room.",c020 23.60 29.80;c152 0.00 3.50;c016 0.00 15.80;c015 0.00 28.00;c023 23.10 32.00;c156 14.40 32.00;c062 12.70 32.00;c061 13.50 20.20;c097 26.50 32.00,30.58
78XZ9,XXN8,Basement (A room below the ground floor),3,4,Yes,A person is standing on a box and smiling at a book.,book;box,Someone is in their basement. They walk to a box and stand on it with a book in their hand. They open the book and read from it and then they close it.,c025 27.30 32.40;c026 0.00 33.00;c027 6.30 20.10;c152 3.70 10.00;c029 2.00 33.00;c032 0.50 33.00;c149 5.80 33.00;c030 0.00 4.40,31.79
0VOQC,YA10,Basement (A room below the ground floor),6,7,Yes,"One person runs in with a phone, then eats something out of a bag, then closes the bag.",bag;food;phone;sandwich,"A person is eating some food.;A person runs into the room, bumps into a box, looks at a phone and sticks it in a pocket. The person then opens a bag containing a sandwich that has been held the whole time and removes the sandwich and begins eating it. The bag is then closed and the person walks away with it.",c015 0.00 9.00;c021 5.40 10.50;c150 0.00 4.90;c017 0.00 9.50;c020 0.00 28.90;c156 5.80 25.30;c067 8.00 21.80;c065 12.00 20.70;c069 24.10 29.00,27.88
E6Q95,L4ZP,Living room,7,5,Yes,A person is undressing and wrapping herself in a blanket. A person is walking to sit in front of the television and eat a sandwich.,blanket;clothes;food;medicine;sandwich;sofa/couch;television,A person takes of their coat and sits on a sofa and watches TV,c132 12.30 17.50;c072 11.00 18.00;c155 3.70 11.80;c151 3.10 8.10;c070 8.40 26.00;c061 14.00 26.00;c073 8.20 26.00;c156 14.00 26.00;c123 2.80 26.00,25.42
G99VH,UTMU,Stairs,6,7,Yes,A person is smiling at a camera and then pouring medicine into a spoon on the stairs.,bottle;camera;cup;medicine;phone;picture;spoon;stairs,"A person is sitting on the stairs and picks up a camera and takes a picture of themselves. They set down the camera, Then they pick up a bottle of medicine and pour it into a spoon. They close the lid to the bottle as they hold the spoon.;A person is sitting on the stairs taking a picture.  The person then puts down the camera and picks up a bottle of pink medicine and pours some in a spoon.",c015 4.80 23.70;c018 9.20 19.30;c128 18.90 37.50;c087 17.40 33.40;c017 1.50 17.90;c129 7.10 15.60;c128 13.30 30.50;c107 19.90 29.10,38.75
DWHPO,D0RU,Dining room,7,7,Yes,A person is sitting and smiling at another person who has a bag of food.,bag;chair;food;phone/camera;table,People sitting at a table eating food one take something out of a bag other person pick it up.;Two people are sitting in chairs at a table eating something. One person removes some food from their bag and places it on the table. The second person picks up the food.,c062 3.20 14.00;c063 1.30 7.60;c059 0.00 31.00;c011 0.00 31.00;c009 10.50 14.90;c020 8.80 15.10;c018 27.40 31.00;c017 15.70 21.30;c156 26.90 31.00;c015 3.90 8.80,30.42
H603E,LTAC,Basement (A room below the ground floor),7,7,Yes,A person is reading a book while working on their laptop. The person puts the book down and starts eating.,book;chair;floor;food;laptop;paper;sandwich;table,"A person is sitting in a chair looking at a paper, while working on a laptop.;The person is sitting and looking through some paper. The person then types something on a keyboard. They do this two times, put the paper on the ground, then eat something",c026 0.00 28.90;c027 0.00 8.00;c032 0.00 28.40;c051 0.00 33.00;c059 0.00 33.00;c116 20.70 29.00;c115 0.00 7.50;c115 8.80 23.80;c052 3.20 15.10;c156 26.50 33.00;c014 0.00 33.00;c126 23.60 28.50;c061 24.40 33.00;c063 24.70 31.30;c145 0.00 27.40;c067 27.10 33.00;c011 0.00 33.00,32.33
CBXVQ,8718,Pantry,7,7,Yes,"A person stands in front of their pantry pulling food off of the shelf , they walk to the sink grasping a piece of fruit and began washing it.",cabinet;cans;counter;faucet;food;hand;shelf;sink,A person enters the room and opens up a cabinet and gets several cans out and puts them on the counter. Then they turn on the faucet and wash their hands.;A person opens a cabinet and retrieves some food from a shelf in it. They then wash the top of a one of the cans in the sink.,c061 7.50 14.20;c063 0.40 10.20;c113 7.40 22.10;c139 18.80 35.00;c114 4.00 21.70,33.83
PN4MI,9Y7F,Kitchen,3,5,Yes,One person stands drinking and laughing in the doorway as another person awakens with homework and a sandwich in front of them.,book;calculator;dish;doorway;food;glass;homework;paper;sandwich;table;water,"A man in standing near a door way drinking a glass of water holding a piece of paper. Another man is sitting on a counter doing home work, while eating a sandwich.;Two persons are eating and drinking in a kitchen.  One operates a calculator doing their homework while the other holds papers.",c145 3.60 13.80;c065 4.90 13.10;c149 15.60 29.90;c010 0.00 10.70;c014 0.00 32.00;c115 0.00 32.00;c118 0.00 32.00;c061 0.00 32.00;c152 0.30 6.90;c032 4.00 13.60;c156 17.70 25.40,30.50
VJ2QS,3H6W,Dining room,6,7,Yes,"One person pours something down the sink, then sits at the table and plays with their food.",bag;bread;chair;cup;food;sink;table;water,"A person dumps some water into a sink. The person sits in a chair and tosses a bag of bread in their hands;A person is pouring some water into a sink, they then sit down at a table and begin playing with some bread.",c061 11.20 21.00;c059 10.30 21.30;c011 10.40 21.40;c063 11.40 15.80;c023 11.40 15.80;c024 11.80 20.50;c110 1.60 5.80;c154 0.00 14.50;c109 1.60 10.90;c064 10.00 21.70,23.75
FI1LR,XXN8,Kitchen,5,7,Yes,A person is cooking on the stove and another person is putting up groceries.,basket;food;groceries;stove,A lady stands in her kitchen and unloads items from a basket and puts them into a cabinet while a second woman cooks behind her.,c130 4.40 31.70;c062 0.40 31.40,31.75
AY08E,ZTV2,Bedroom,5,6,Yes,A person is in the bedroom holding some clothes.  Then the person starts smiling while looking at themselves in the mirror.,clothes;mirror,"A person walks into a living room holding some clothes, then hugs the clothes and looks into a mirror and smiles.",c094 10.30 23.00;c096 10.80 23.00;c152 10.80 23.00;c000 0.00 23.00,21.58
7XNAI,ZSRZ,Recreation room / Man cave,7,7,Yes,A smiling person is walking into a recreation room has set a sandwich next to the person's laptop.,couch;food;glasses;laptop;pillows;sandwich;sofa;table,"Person walks in room, bends and place food on table, sits on couch and types on laptop.;The person comes into view on the screen, sets down a sandwich, and sits down on a couch and gets on the computer.",c152 7.70 12.80;c151 5.50 12.10;c123 5.60 13.00;c009 1.00 8.10;c062 1.00 8.10;c014 8.60 13.00;c052 7.50 13.00;c011 7.70 13.00,11.71
IST7I,HR43,Living room,5,7,Yes,Person is snuggling with blanket watching television and eating food out of box.,blanket;box;food;laptop;sofa;television,"A person is sitting on a sofa looking at a laptop on the coffee table. They open a box of Ritz crackers, fidget with a blanket, and begin eating the crackers.;person sits on a sofa and eats some food",c061 16.60 28.50;c132 0.00 41.00;c041 0.00 4.20;c156 18.40 32.80;c070 35.00 41.00;c040 0.00 5.00;c044 22.10 29.70;c123 0.00 41.00,40.42
OI3BC,2RTW,Bedroom,6,6,Yes,A person puts a towel onto a chair in their study. The person notices an open drawer in the nearby desk; the person closes it.,cabinet;chair;clothes;desktop;door;laptop;shelf;shirt;towel,"A person enters the room carrying a towel.  They put it on a chair, then close the door of a cabinet.;A person walks to his room and puts his shirt on his chair. The person then is trying to look for something.",c097 0.00 5.40;c033 0.00 5.90;c112 11.40 19.80;c001 0.50 8.20;c034 2.60 10.80;c006 11.50 24.60;c003 2.50 9.30;c082 10.80 24.20,29.71
F4BJJ,2RTW,Bedroom,6,6,Yes,A smiling person runs through the doorway.  The person puts a bag down on the desk.  The person takes a book out of the bag and stands by the desk holding it.,bag;book;desk;paper;table,A person runs to a desk and takes a book out of their bookbag. They begin reading the book and smiling and nodding.,c027 10.50 30.00;c117 2.80 12.80;c020 1.50 12.50;c022 7.70 12.60;c026 7.30 30.00;c029 14.10 30.00;c032 9.90 30.00;c150 0.00 4.50;c009 0.60 12.00;c030 5.60 13.80;c023 4.80 12.00,29.04
83654,2RTW,Bedroom,6,6,Yes,"A person puts a sandwich down onto a desk. The person sits down at the desk, and opens a box.",box;chair;desk;dish;sandwich;table,"A person walks over to a desk carrying a plate with a sandwich on it sits down in the chair takes a box off of the desk and opens it.;Person walks in, sits down, and begins to look at a pair of shoes.This person carries a sandwich into their room and places it on the desk.",c011 10.30 31.00;c151 5.00 15.10;c041 17.70 27.30;c009 6.10 12.80;c059 8.20 14.90;c067 0.00 10.10;c118 0.00 9.90;c068 0.00 13.10;c040 13.40 31.00;c119 0.00 12.60,29.83
0G0YF,HR43,Kitchen,4,6,Yes,"A person walks to a refrigerator, closes the refrigerator door, and then cooks at a stove.",dish;food;stove,A person is opening the fridge then they are at the stove cooking the lift the pan several times.,c147 4.20 30.00;c118 15.40 21.70,29.38
0R5GS,3531,Recreation room / Man cave,7,7,Yes,A person in the recreation room is walking around holding a box that they picked up from the desk. Their walking turns into running as they look into a mirror and see their reflection.,bench;box;mirror;room,"A person walks into the room and grabs a box off of a bench. The person walks in circles while holding the box while looking in a mirror.;A person walks into a room, picks up a box, and begins walking in circles with the box in hand",c040 1.60 32.00;c043 1.00 7.20;c096 11.80 29.60;c150 10.90 32.00,31.33
PVB4S,D0RU,Stairs,6,7,Yes,"A person is walking down the stairs holding a bag in their hand.  When they get to the bottom of the stairs, the person throws the bag next to the sofa.",bag;bench;chair;floor;hand;stairs,"The person walked down the stairs with a backpack and threw the backpack. The person picked it up and put it on a bench.;A person walks down some stairs holding a bag. They throw the bag on to the floor, pick it up and put it on a chair.",c024 16.70 25.40;c023 5.50 18.40;c022 18.50 24.80;c127 23.40 30.30;c020 5.70 18.70,32.71
N2OCX,PO5L,Basement (A room below the ground floor),7,7,Yes,"A person laughs while holding a broom in the basement, then sneezes on a chair.",broom;chair,A person holding a broom walks into the hallway laughing. They sneeze and leave the room.,c149 1.90 11.10;c153 6.70 13.50;c098 0.80 17.60,18.25
Q5GVZ,OUKK,Hallway,5,7,Yes,A person is standing in the hallway holding a towel and a cup of coffee.  The person puts the towel onto a pile of clothes and fixes a crooked picture on the wall.,coffee;cup;picture;towel;wall,A person walks by while holding a cup of coffee and a towel. The person puts the towel on a table then adjusts the picture on the wall.,c107 3.40 15.00;c088 3.70 25.30;c034 11.00 16.40,29.21
R7107,I4RP,Living room,6,6,Yes,"A person is working on a sofa. Another person walks in with a bag of groceries, closing the door behind them.",bag;door;groceries;laptop;sofa,"A person is sitting on a sofa working on the laptop when another person walks in through the door carries groceries.;A person sits on a couch with a laptop while another person enters a doorway and opens a door with a bag, then closes it.",c052 0.00 14.00;c008 0.20 7.80;c123 0.00 14.00;c020 3.20 14.00;c006 3.50 11.00,12.50
UMOE4,I4RP,Living room,6,6,Yes,A person holds a box of pictures from a table in the entryway. Another person suddenly comes running through.,box;cards;laptop;picture;vacuum,"The person is shuffling through cards while standing at a table. Another person sprints through the picture, past the original person standing there.;A person searches through a box and another person runs across the room.",c044 5.00 10.70;c084 0.00 10.80;c083 6.50 11.10;c150 6.20 11.70;c154 0.00 12.00,11.38
QLWQ4,P6LJ,Living room,5,6,Yes,"A person is tidying up the room. They are holding a laundry bin and pick up a towel and a blanket nearby, and put it in the laundry bin.",bag;blanket;box;clothes;hamper;shirt;table;towel,"A person is putting clothes in a box, they then put a blanket in a basket and several other clothes.;Someone is in the living room and they grab a shirt from the table and fold it and then puts a bag and clothes in a hamper.",c000 2.60 14.20;c002 21.40 36.00;c004 2.40 43.40;c001 21.40 43.40;c001 2.80 14.40;c003 21.20 29.40;c002 2.60 9.80;c073 3.10 8.90;c154 0.00 47.00;c071 4.20 14.20;c009 9.70 14.90;c012 9.30 14.90,45.92
S9P0W,L4ZP,Bedroom,5,6,Yes,A person is seen holding a towel which they put into a box. They then start pouring themselves some water and turning off the light,box;cup/glass/bottle;light;towel,"A person folds a towel, puts it in a box and then turns off the light.",c105 27.10 32.60;c033 0.00 13.70;c034 7.20 13.50;c108 12.40 21.90;c037 0.00 12.10,38.25
